,text,target
0,text,sentiment
1,saat sonra gelen mucize emrah apartmani nda enkaz altinda kalan iki kiz kardesten biri olan yasindaki dil irin sag olarak cikarild deprem izmirdepremi,4
2,kayipkedi izmirdepremi kedisahiplendirme yilmazerbek t co yz fqtpa,2
3,kayipkedi izmirdepremi kedisahiplendirme yilmazerbek t co yz fqtpa,2
4,saat sonra gelen mucize emrah apartmani nda enkaz altinda kalan iki kiz kardesten biri olan yasindaki dil irin sag olarak cikarild deprem izmirdepremi,4
5,unuttunuz coktan degil mi izmirdepremi,0
6,gunduz trafigi etkilememek icin depremde agir hasar almis ishani gece yikimi basladi izmirdepremi izmir ankaya konak,0
7,izmirearthquake izmir izmirdepremi izmirdeprem,2
8,kayipkedi izmirdepremi kedisahiplendirme yilmazerbek t co yz fqtpa,2
9,kayipkedi izmirdepremi kedisahiplendirme yilmazerbek t co yz fqtpa,2
10,ekrem mamoglu na stanbul u sel basti beyefendi tatilde diyen erdogan zmir de deprem olmusken yurttas olmus yuzlerce yarali varken van da gule oynaya il mitingi yapiyor izmirdepremi,0
11,kayipkedi izmirdepremi kedisahiplendirme yilmazerbek t co yz fqtpa,2
12,bu cocuga yuva bulalim lutfen kayipkedi izmirdepremkayiphayvanlar izmirdepremi,2
13,gunduz trafigi etkilememek icin depremde agir hasar almis ishani gece yikimi basladi izmirdepremi izmir ankaya konak,0
14,izmirdepremi nin yaralari hala cok taze magdurlarin cogunun banka hesaplari hala bos artik toplanan yardimlari gonderin bir de su kentsel donusum insaatlariniz icin insanlardan para istemeyi birakin yok cunku,0
15,gunduz trafigi etkilememek icin depremde agir hasar almis ishani gece yikimi basladi izmirdepremi izmir ankaya konak,0
16,gunduz trafigi etkilememek icin depremde agir hasar almis ishani gece yikimi basladi izmirdepremi izmir ankaya konak,2
17,izmirdepremi olunca bitik siyasilere gun dogdu oraya gidip sov yapiyorlar kimse biz sorumluyuz bu imarlari biz verdik biz eski binalari kontrol etmiyoruz yenilemiyoruz zur dileriz demiyorlar halk her seye ecel mukeddarat der sineye cekerse biz daha cok oluruz,2
18,guzel haberlere vicdanli insanlara karsiliksiz yardimlara kosulsuz sevgiye ozgurce nefes almaya kisacasi gercekten insanca yasayamaya cok ihtiyacimiz var sabirla ozlemle bikmadan bekliyoruz iki gozum pakize mucizelere nan hayatyordubizi izmirdepremi,0
19,guzel haberlere vicdanli insanlara karsiliksiz yardimlara kosulsuz sevgiye ozgurce nefes almaya kisacasi gercekten insanca yasayamaya cok ihtiyacimiz var sabirla ozlemle bikmadan bekliyoruz iki gozum pakize mucizelere nan hayatyordubizi izmirdepremi,0
20,zmir deki yikimlar son derece tehlikeli bir sekilde yapiliyor tedbirler alinmiyor yikimlarda gorevli bir yetkili soyle diyor bizi allah koruyor bugun sagidan izleyebilirsiniz bu yikim goruntusu ise ilk kez yayimlaniyor izmirdepremi,0
